Div;Season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HomeBookmaker;DrawBookmaker;AwayBookmaker;avg_home_spectator;avg_away_spectator
SP1;01_02;2001-08-25 00:00:00;Valencia;Real Madrid;1;0;H;1;0;H;;;;43125;65832
SP1;01_02;2001-08-26 00:00:00;La Coruna;Valladolid;4;0;H;1;0;H;1.25;4.5;10.0;28464;13056
SP1;01_02;2001-08-26 00:00:00;Espanol;Zaragoza;2;1;H;1;1;D;1.73;3.4;4.0;17463;27246
SP1;01_02;2001-08-26 00:00:00;Malaga;Betis;3;2;H;1;1;D;1.8;3.2;4.0;19150;0
SP1;01_02;2001-08-26 00:00:00;Mallorca;Las Palmas;0;3;A;0;1;A;1.5;3.4;6.0;17113;17335
SP1;01_02;2001-08-26 00:00:00;Osasuna;Celta;0;3;A;0;1;A;2.6;3.2;2.37;17313;20632
SP1;01_02;2001-08-26 00:00:00;Sociedad;Ath Bilbao;1;3;A;1;1;D;2.1;3.2;3.0;24592;32789
SP1;01_02;2001-08-26 00:00:00;Vallecano;Villarreal;1;2;A;1;2;A;2.2;3.25;2.75;9805;15644
SP1;01_02;2001-08-26 00:00:00;Sevilla;Barcelona;1;2;A;0;1;A;3.4;3.25;1.91;26667;64105
SP1;01_02;2001-08-26 00:00:00;Tenerife;Alaves;0;2;A;0;1;A;2.4;3.25;2.5;0;14167
SP1;01_02;2001-09-08 00:00:00;Ath Bilbao;Mallorca;0;1;A;0;0;D;2.1;3.2;3.0;32789;17113
SP1;01_02;2001-09-08 00:00:00;Las Palmas;La Coruna;0;1;A;0;0;D;3.0;3.0;2.2;17335;28464
SP1;01_02;2001-09-08 00:00:00;Real Madrid;Malaga;1;1;D;1;0;H;1.3;4.0;9.0;65832;19150
SP1;01_02;2001-09-08 00:00:00;Villarreal;Osasuna;3;0;H;1;0;H;1.5;3.4;6.0;15644;17313
SP1;01_02;2001-09-09 00:00:00;Alaves;Sociedad;2;0;H;1;0;H;1.73;3.2;4.33;14167;24592
SP1;01_02;2001-09-09 00:00:00;Barcelona;Vallecano;1;1;D;0;0;D;1.25;4.5;10.0;64105;9805
SP1;01_02;2001-09-09 00:00:00;Betis;Espanol;2;0;H;2;0;H;2.37;3.2;2.6;0;17463
SP1;01_02;2001-09-09 00:00:00;Celta;Tenerife;3;0;H;2;0;H;1.36;3.75;8.0;20632;0
SP1;01_02;2001-09-09 00:00:00;Valladolid;Valencia;1;1;D;1;0;H;2.8;3.2;2.2;13056;43125
SP1;01_02;2001-09-09 00:00:00;Zaragoza;Sevilla;1;1;D;0;0;D;1.73;3.2;4.33;27246;26667
SP1;01_02;2001-09-15 00:00:00;Betis;Real Madrid;3;1;H;1;1;D;4.0;3.2;1.8;0;65832
