Div;Season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HomeBookmaker;DrawBookmaker;AwayBookmaker;avg_home_spectator;avg_away_spectator
E0;01_02;18.08.2001;Charlton;Everton;1;2;A;0;0;D;2.0;2.9;3.0;20023.0;34131.0
E0;01_02;18.08.2001;Derby;Blackburn;2;1;H;1;0;H;2.3;2.9;2.5;28551.0;20740.0
E0;01_02;18.08.2001;Leeds;Southampton;2;0;H;0;0;D;1.4;3.6;5.5;38974.0;15115.0
E0;01_02;18.08.2001;Leicester;Bolton;0;5;A;0;4;A;1.85;3.0;3.3;20452.0;16062.0
E0;01_02;18.08.2001;Liverpool;West Ham;2;1;H;1;1;D;1.4;3.6;5.5;43699.0;25697.0
E0;01_02;18.08.2001;Middlesbrough;Arsenal;0;4;A;0;1;A;2.9;2.9;2.1;30747.0;37974.0
E0;01_02;18.08.2001;Sunderland;Ipswich;1;0;H;1;0;H;1.85;3.0;3.3;46791.0;22532.0
E0;01_02;18.08.2001;Tottenham;Aston Villa;0;0;D;0;0;D;2.1;2.9;2.9;35195.0;31597.0
E0;01_02;19.08.2001;Chelsea;Newcastle;1;1;D;1;0;H;1.6;3.3;4.0;34700.0;51309.0
E0;01_02;19.08.2001;Man United;Fulham;3;2;H;1;1;D;1.4;3.6;5.5;67490.0;14985.0
E0;01_02;20.08.2001;Everton;Tottenham;1;1;D;0;1;A;2.2;2.9;2.7;34131.0;35195.0
E0;01_02;21.08.2001;Arsenal;Leeds;1;2;A;1;1;D;1.8;3.0;3.5;37974.0;38974.0
E0;01_02;21.08.2001;Bolton;Middlesbrough;1;0;H;1;0;H;2.2;3.0;2.6;16062.0;30747.0
E0;01_02;21.08.2001;Ipswich;Derby;3;1;H;1;0;H;1.65;3.2;3.9;22532.0;28551.0
E0;01_02;22.08.2001;Blackburn;Man United;2;2;D;0;1;A;4.2;3.2;1.6;20740.0;67490.0
E0;01_02;22.08.2001;Fulham;Sunderland;2;0;H;0;0;D;2.0;2.9;3.0;14985.0;46791.0
E0;01_02;25.08.2001;Arsenal;Leicester;4;0;H;2;0;H;1.25;4.3;8.0;37974.0;20452.0
E0;01_02;25.08.2001;Blackburn;Tottenham;2;1;H;1;0;H;2.1;2.9;2.9;20740.0;35195.0
E0;01_02;25.08.2001;Everton;Middlesbrough;2;0;H;1;0;H;2.0;2.9;3.0;34131.0;30747.0
E0;01_02;25.08.2001;Fulham;Derby;0;0;D;0;0;D;1.55;3.3;4.5;14985.0;28551.0
E0;01_02;25.08.2001;Ipswich;Charlton;0;1;A;0;0;D;1.7;3.1;3.8;22532.0;20023.0
E0;01_02;25.08.2001;Southampton;Chelsea;0;2;A;0;1;A;2.9;2.9;2.1;15115.0;34700.0
E0;01_02;25.08.2001;West Ham;Leeds;0;0;D;0;0;D;2.9;2.9;2.1;25697.0;38974.0
E0;01_02;26.08.2001;Aston Villa;Man United;1;1;D;1;0;H;3.5;3.0;1.8;31597.0;67490.0
E0;01_02;26.08.2001;Newcastle;Sunderland;1;1;D;1;1;D;2.0;2.9;3.0;51309.0;46791.0
E0;01_02;27.08.2001;Bolton;Liverpool;2;1;H;1;0;H;3.5;3.0;1.8;16062.0;43699.0
E0;01_02;08.09.2001;Chelsea;Arsenal;1;1;D;1;1;D;2.3;2.9;2.5;34700.0;37974.0
E0;01_02;08.09.2001;Derby;West Ham;0;0;D;0;0;D;2.0;2.9;3.0;28551.0;25697.0
E0;01_02;08.09.2001;Leeds;Bolton;0;0;D;0;0;D;1.45;3.5;5.0;38974.0;16062.0
E0;01_02;08.09.2001;Leicester;Ipswich;1;1;D;0;1;A;2.3;3.1;2.3;20452.0;22532.0
E0;01_02;08.09.2001;Liverpool;Aston Villa;1;3;A;0;1;A;1.55;3.3;4.5;43699.0;31597.0
E0;01_02;08.09.2001;Man United;Everton;4;1;H;2;0;H;1.3;4.0;7.0;67490.0;34131.0
E0;01_02;08.09.2001;Middlesbrough;Newcastle;1;4;A;1;1;D;2.3;2.9;2.5;30747.0;51309.0
E0;01_02;08.09.2001;Sunderland;Blackburn;1;0;H;0;0;D;1.8;3.0;3.5;46791.0;20740.0
E0;01_02;09.09.2001;Charlton;Fulham;1;1;D;1;1;D;2.3;2.9;2.5;20023.0;14985.0
E0;01_02;09.09.2001;Tottenham;Southampton;2;0;H;0;0;D;1.65;3.2;3.9;35195.0;15115.0
E0;01_02;15.09.2001;Bolton;Southampton;0;1;A;0;0;D;1.85;3.0;3.3;16062.0;15115.0
E0;01_02;15.09.2001;Derby;Leicester;2;3;A;1;1;D;1.8;3.0;3.5;28551.0;20452.0
E0;01_02;15.09.2001;Everton;Liverpool;1;3;A;1;2;A;2.7;2.9;2.2;34131.0;43699.0
E0;01_02;15.09.2001;Fulham;Arsenal;1;3;A;0;1;A;2.7;2.9;2.2;14985.0;37974.0
E0;01_02;15.09.2001;Middlesbrough;West Ham;2;0;H;2;0;H;2.1;2.9;2.9;30747.0;25697.0
E0;01_02;15.09.2001;Newcastle;Man United;4;3;H;2;1;H;2.9;3.0;2.0;51309.0;67490.0
E0;01_02;16.09.2001;Aston Villa;Sunderland;0;0;D;0;0;D;1.75;3.1;3.6;31597.0;46791.0
E0;01_02;16.09.2001;Charlton;Leeds;0;2;A;0;1;A;2.9;2.9;2.1;20023.0;38974.0
E0;01_02;16.09.2001;Ipswich;Blackburn;1;1;D;1;0;H;1.85;3.0;3.3;22532.0;20740.0
E0;01_02;16.09.2001;Tottenham;Chelsea;2;3;A;0;1;A;2.7;2.9;2.2;35195.0;34700.0
E0;01_02;17.09.2001;Leicester;Middlesbrough;1;2;A;1;0;H;2.3;3.0;2.4;20452.0;30747.0
E0;01_02;19.09.2001;Blackburn;Bolton;1;1;D;0;0;D;2.0;2.9;3.0;20740.0;16062.0
E0;01_02;19.09.2001;Sunderland;Tottenham;1;2;A;0;1;A;1.8;3.0;3.5;46791.0;35195.0
E0;01_02;22.09.2001;Arsenal;Bolton;1;1;D;0;0;D;1.35;3.8;6.2;37974.0;16062.0
E0;01_02;22.09.2001;Blackburn;Everton;1;0;H;1;0;H;1.9;2.9;3.2;20740.0;34131.0
E0;01_02;22.09.2001;Leicester;Fulham;0;0;D;0;0;D;2.4;2.9;2.4;20452.0;14985.0
E0;01_02;22.09.2001;Liverpool;Tottenham;1;0;H;0;0;D;1.5;3.4;4.7;43699.0;35195.0
E0;01_02;22.09.2001;Man United;Ipswich;4;0;H;2;0;H;1.35;3.8;6.2;67490.0;22532.0
E0;01_02;22.09.2001;Sunderland;Charlton;2;2;D;0;1;A;1.6;3.2;4.2;46791.0;20023.0
E0;01_02;23.09.2001;Chelsea;Middlesbrough;2;2;D;2;0;H;1.45;3.5;5.0;34700.0;30747.0
E0;01_02;23.09.2001;Leeds;Derby;3;0;H;1;0;H;1.35;3.8;6.2;38974.0;28551.0
E0;01_02;23.09.2001;West Ham;Newcastle;3;0;H;1;0;H;2.4;2.9;2.4;25697.0;51309.0
E0;01_02;24.09.2001;Southampton;Aston Villa;1;3;A;1;2;A;2.4;2.9;2.4;15115.0;31597.0
E0;01_02;26.09.2001;Newcastle;Leicester;1;0;H;1;0;H;1.5;3.4;4.7;51309.0;20452.0
E0;01_02;29.09.2001;Bolton;Sunderland;0;2;A;0;0;D;2.1;2.9;2.9;16062.0;46791.0
E0;01_02;29.09.2001;Charlton;Leicester;2;0;H;1;0;H;1.85;3.0;3.3;20023.0;20452.0
E0;01_02;29.09.2001;Derby;Arsenal;0;2;A;0;1;A;3.3;3.0;1.85;28551.0;37974.0
E0;01_02;29.09.2001;Everton;West Ham;5;0;H;1;0;H;2.0;2.9;3.0;34131.0;25697.0
E0;01_02;29.09.2001;Middlesbrough;Southampton;1;3;A;0;0;D;1.75;3.1;3.6;30747.0;15115.0
E0;01_02;29.09.2001;Tottenham;Man United;3;5;A;3;0;H;2.9;2.9;2.1;35195.0;67490.0
E0;01_02;30.09.2001;Aston Villa;Blackburn;2;0;H;0;0;D;1.8;3.0;3.5;31597.0;20740.0
E0;01_02;30.09.2001;Fulham;Chelsea;1;1;D;0;1;A;2.4;2.9;2.4;14985.0;34700.0
E0;01_02;30.09.2001;Ipswich;Leeds;1;2;A;1;0;H;2.9;2.9;2.1;22532.0;38974.0
E0;01_02;30.09.2001;Newcastle;Liverpool;0;2;A;0;1;A;2.4;2.9;2.4;51309.0;43699.0
E0;01_02;13.10.2001;Bolton;Newcastle;0;4;A;0;1;A;2.5;3.0;2.5;16062.0;51309.0
E0;01_02;13.10.2001;Charlton;Middlesbrough;0;0;D;0;0;D;2.2;3.0;2.9;20023.0;30747.0
E0;01_02;13.10.2001;Chelsea;Leicester;2;0;H;2;0;H;1.35;4.0;7.0;34700.0;20452.0
E0;01_02;13.10.2001;Ipswich;Everton;0;0;D;0;0;D;2.0;3.1;3.2;22532.0;34131.0
E0;01_02;13.10.2001;Liverpool;Leeds;1;1;D;0;1;A;2.0;3.1;3.2;43699.0;38974.0
E0;01_02;13.10.2001;Southampton;Arsenal;0;2;A;0;1;A;3.6;3.2;1.8;15115.0;37974.0
E0;01_02;13.10.2001;Sunderland;Man United;1;3;A;0;1;A;3.2;3.1;2.0;46791.0;67490.0
E0;01_02;14.10.2001;Aston Villa;Fulham;2;0;H;0;0;D;1.8;3.1;3.8;31597.0;14985.0
E0;01_02;14.10.2001;Blackburn;West Ham;7;1;H;3;1;H;1.85;3.1;3.6;20740.0;25697.0
E0;01_02;15.10.2001;Tottenham;Derby;3;1;H;2;1;H;1.6;3.4;4.6;35195.0;28551.0
E0;01_02;20.10.2001;Arsenal;Blackburn;3;3;D;0;1;A;1.4;3.9;6.0;37974.0;20740.0
E0;01_02;20.10.2001;Derby;Charlton;1;1;D;1;0;H;2.1;3.0;3.1;28551.0;20023.0
E0;01_02;20.10.2001;Everton;Aston Villa;3;2;H;1;0;H;2.5;3.0;2.5;34131.0;31597.0
E0;01_02;20.10.2001;Leicester;Liverpool;1;4;A;0;3;A;4.0;3.3;1.7;20452.0;43699.0
E0;01_02;20.10.2001;Man United;Bolton;1;2;A;1;1;D;1.25;4.5;9.0;67490.0;16062.0
E0;01_02;20.10.2001;West Ham;Southampton;2;0;H;0;0;D;2.0;3.1;3.2;25697.0;15115.0
E0;01_02;21.10.2001;Fulham;Ipswich;1;1;D;1;0;H;1.8;3.1;3.8;14985.0;22532.0
E0;01_02;21.10.2001;Leeds;Chelsea;0;0;D;0;0;D;1.9;3.1;3.5;38974.0;34700.0
E0;01_02;21.10.2001;Newcastle;Tottenham;0;2;A;0;2;A;1.85;3.2;3.5;51309.0;35195.0
E0;01_02;22.10.2001;Middlesbrough;Sunderland;2;0;H;2;0;H;2.4;3.0;2.6;30747.0;46791.0
E0;01_02;24.10.2001;Aston Villa;Charlton;1;0;H;1;0;H;1.55;3.5;4.8;31597.0;20023.0
E0;01_02;24.10.2001;Southampton;Ipswich;3;3;D;2;1;H;2.2;3.0;2.9;15115.0;22532.0
E0;01_02;24.10.2001;West Ham;Chelsea;2;1;H;2;1;H;3.2;3.1;2.0;25697.0;34700.0
E0;01_02;27.10.2001;Aston Villa;Bolton;3;2;H;2;1;H;1.6;3.4;4.6;31597.0;16062.0
E0;01_02;27.10.2001;Charlton;Liverpool;0;2;A;0;2;A;3.5;3.1;1.9;20023.0;43699.0
E0;01_02;27.10.2001;Everton;Newcastle;1;3;A;0;1;A;2.2;3.0;2.9;34131.0;51309.0
E0;01_02;27.10.2001;Fulham;Southampton;2;1;H;2;1;H;1.7;3.2;4.2;14985.0;15115.0
E0;01_02;27.10.2001;Man United;Leeds;1;1;D;0;0;D;1.75;3.2;4.0;67490.0;38974.0
E0;01_02;27.10.2001;Sunderland;Arsenal;1;1;D;0;1;A;3.2;3.1;2.0;46791.0;37974.0
E0;01_02;27.10.2001;Tottenham;Middlesbrough;2;1;H;0;1;A;1.7;3.3;4.0;35195.0;30747.0
E0;01_02;28.10.2001;Derby;Chelsea;1;1;D;1;0;H;3.6;3.1;1.85;28551.0;34700.0
E0;01_02;28.10.2001;Ipswich;West Ham;2;3;A;0;1;A;1.9;3.1;3.5;22532.0;25697.0
E0;01_02;29.10.2001;Blackburn;Leicester;0;0;D;0;0;D;1.45;3.8;5.4;20740.0;20452.0
E0;01_02;03.11.2001;Bolton;Everton;2;2;D;1;1;D;2.4;3.0;2.6;16062.0;34131.0
E0;01_02;03.11.2001;Leicester;Sunderland;1;0;H;0;0;D;2.7;3.0;2.3;20452.0;46791.0
E0;01_02;03.11.2001;Middlesbrough;Derby;5;1;H;0;0;D;1.7;3.2;4.2;30747.0;28551.0
E0;01_02;03.11.2001;Newcastle;Aston Villa;3;0;H;1;0;H;2.1;3.0;3.1;51309.0;31597.0
