Div;Season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;IWH;IWD;IWA;avg_home_spectator;avg_away_spectator
SP1;06_07;26.08.2006;Valencia;Betis;2;1;H;1;0;H;1.6;3.4;5.2;43105;38421
SP1;06_07;27.08.2006;Ath Bilbao;Sociedad;1;1;D;1;0;H;2.0;3.0;3.6;36895;22524
SP1;06_07;27.08.2006;Espanol;Gimnastic;0;1;A;0;0;D;1.75;3.3;4.2;22337;8283
SP1;06_07;27.08.2006;La Coruna;Zaragoza;3;2;H;2;1;H;2.0;3.2;3.0;19105;28158
SP1;06_07;27.08.2006;Osasuna;Getafe;0;2;A;0;0;D;1.85;3.2;3.8;16063;12763
SP1;06_07;27.08.2006;Real Madrid;Villarreal;0;0;D;0;0;D;1.55;3.5;5.5;71544;18487
SP1;06_07;27.08.2006;Recreativo;Mallorca;1;1;D;0;0;D;2.2;3.0;3.1;11418;15847
SP1;06_07;27.08.2006;Santander;Ath Madrid;0;1;A;0;1;A;2.9;3.0;2.3;14720;38684
SP1;06_07;28.08.2006;Celta;Barcelona;2;3;A;1;0;H;4.2;3.3;1.75;16947;73225
SP1;06_07;29.08.2006;Sevilla;Levante;4;0;H;2;0;H;1.55;3.5;5.5;40247;11234
SP1;06_07;09.09.2006;Ath Madrid;Valencia;0;1;A;0;1;A;2.4;2.8;3.0;38684;43105
SP1;06_07;09.09.2006;Barcelona;Osasuna;3;0;H;3;0;H;1.33;4.2;8.0;73225;16063
SP1;06_07;10.09.2006;Betis;Ath Bilbao;3;0;H;2;0;H;2.0;3.1;3.4;38421;36895
SP1;06_07;10.09.2006;Getafe;Santander;1;0;H;0;0;D;1.8;3.1;4.2;12763;14720
SP1;06_07;10.09.2006;Gimnastic;Celta;1;2;A;0;0;D;2.6;3.0;2.6;8283;16947
SP1;06_07;10.09.2006;Levante;Real Madrid;1;4;A;1;2;A;6.3;3.5;1.5;11234;71544
SP1;06_07;10.09.2006;Mallorca;La Coruna;0;0;D;0;0;D;2.5;2.9;2.8;15847;19105
SP1;06_07;10.09.2006;Sociedad;Sevilla;1;3;A;0;1;A;2.9;2.9;2.4;22524;40247
SP1;06_07;10.09.2006;Villarreal;Recreativo;0;1;A;0;0;D;1.55;3.5;5.5;18487;11418
SP1;06_07;10.09.2006;Zaragoza;Espanol;3;0;H;1;0;H;1.8;3.1;4.2;28158;22337
SP1;06_07;16.09.2006;La Coruna;Villarreal;2;0;H;1;0;H;2.2;3.1;3.0;19105;18487
SP1;06_07;17.09.2006;Ath Bilbao;Ath Madrid;1;4;A;0;2;A;2.55;3.1;2.55;36895;38684
SP1;06_07;17.09.2006;Espanol;Celta;2;1;H;0;0;D;2.3;3.1;2.8;22337;16947
SP1;06_07;17.09.2006;Osasuna;Gimnastic;2;0;H;1;0;H;1.7;3.3;4.5;16063;8283
SP1;06_07;17.09.2006;Real Madrid;Sociedad;2;0;H;0;0;D;1.25;4.6;10.5;71544;22524
SP1;06_07;17.09.2006;Recreativo;Levante;0;1;A;0;0;D;2.0;3.0;3.6;11418;11234
SP1;06_07;17.09.2006;Santander;Barcelona;0;3;A;0;1;A;7.0;3.6;1.45;14720;73225
SP1;06_07;17.09.2006;Sevilla;Betis;3;2;H;1;1;D;1.75;3.2;4.3;40247;38421
