Div;Season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HomeBookmaker;DrawBookmaker;AwayBookmaker;avg_home_spectator;avg_away_spectator
SP1;01_02;2001-08-25 00:00:00;Valencia;Real Madrid;1;0;H;1;0;H;2.4;2.9;2.4;42737;64475
SP1;01_02;2001-08-26 00:00:00;La Coruna;Valladolid;4;0;H;1;0;H;1.35;3.8;6.2;28921;13253
SP1;01_02;2001-08-26 00:00:00;Espanol;Zaragoza;2;1;H;1;1;D;1.85;2.9;3.4;18500;25053
SP1;01_02;2001-08-26 00:00:00;Malaga;Betis;3;2;H;1;1;D;1.7;3.1;3.8;15789;29381
SP1;01_02;2001-08-26 00:00:00;Mallorca;Las Palmas;0;3;A;0;1;A;1.45;3.5;5.0;16637;17235
SP1;01_02;2001-08-26 00:00:00;Osasuna;Celta;0;3;A;0;1;A;2.4;2.9;2.4;17260;21684
SP1;01_02;2001-08-26 00:00:00;Sociedad;Ath Bilbao;1;3;A;1;1;D;2.1;2.9;2.9;25000;32105
SP1;01_02;2001-08-26 00:00:00;Vallecano;Villarreal;1;2;A;1;2;A;2.1;2.9;2.9;9079;15368
SP1;01_02;2001-08-26 00:00:00;Sevilla;Barcelona;1;2;A;0;1;A;3.2;2.9;1.9;30000;62632
SP1;01_02;2001-08-26 00:00:00;Tenerife;Alaves;0;2;A;0;1;A;2.1;2.9;2.9;12643;13984
SP1;01_02;2001-09-08 00:00:00;Ath Bilbao;Mallorca;0;1;A;0;0;D;1.9;2.9;3.2;32105;16637
SP1;01_02;2001-09-08 00:00:00;Las Palmas;La Coruna;0;1;A;0;0;D;2.4;2.9;2.4;17235;28921
SP1;01_02;2001-09-08 00:00:00;Real Madrid;Malaga;1;1;D;1;0;H;1.25;4.3;8.0;64475;15789
SP1;01_02;2001-09-08 00:00:00;Villarreal;Osasuna;3;0;H;1;0;H;1.55;3.3;4.5;15368;17260
SP1;01_02;2001-09-09 00:00:00;Alaves;Sociedad;2;0;H;1;0;H;1.8;3.0;3.5;13984;25000
SP1;01_02;2001-09-09 00:00:00;Barcelona;Vallecano;1;1;D;0;0;D;1.2;4.7;9.0;62632;9079
SP1;01_02;2001-09-09 00:00:00;Betis;Espanol;2;0;H;2;0;H;2.0;2.9;3.0;29381;18500
SP1;01_02;2001-09-09 00:00:00;Celta;Tenerife;3;0;H;2;0;H;1.4;3.6;5.5;21684;12643
SP1;01_02;2001-09-09 00:00:00;Valladolid;Valencia;1;1;D;1;0;H;2.4;2.9;2.4;13253;42737
SP1;01_02;2001-09-09 00:00:00;Zaragoza;Sevilla;1;1;D;0;0;D;1.75;3.1;3.6;25053;30000
SP1;01_02;2001-09-15 00:00:00;Betis;Real Madrid;3;1;H;1;1;D;3.0;2.9;2.0;29381;64475
SP1;01_02;2001-09-15 00:00:00;La Coruna;Ath Bilbao;1;2;A;0;1;A;1.45;3.5;5.0;28921;32105
SP1;01_02;2001-09-15 00:00:00;Mallorca;Alaves;0;0;D;0;0;D;1.85;2.9;3.4;16637;13984
SP1;01_02;2001-09-15 00:00:00;Osasuna;Barcelona;0;0;D;0;0;D;3.6;3.1;1.75;17260;62632
SP1;01_02;2001-09-16 00:00:00;Espanol;Sevilla;2;3;A;1;1;D;1.75;3.1;3.6;18500;30000
